date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-07-03'],Vitality Blast,1297916,Sussex,11,0,0,0,0,0.0,6,1.0,6,1,0,11,2,0,0,0,0,0,0,11.0,0,0,0,0,0,0,1,0,1
['2022-07-01'],Vitality Blast,1297908,Sussex,11,0,0,0,0,0.0,"2,4,19",3.0,18,5,0,33,3,1,0,0,0,0,5,11.0,0,0,0,0,0,0,3,0,3
['2022-06-24'],Vitality Blast,1297896,Sussex,11,0,0,0,0,0.0,"2,4,18",3.0,18,4,0,39,9,0,0,0,0,0,0,13.0,0,0,0,0,0,0,-2,0,-2
['2022-06-23'],Vitality Blast,1297892,Sussex,11,0,0,0,0,0.0,"2,5",2.0,12,4,0,16,1,1,1,0,0,0,0,8.0,0,0,0,0,0,0,29,0,29
['2022-06-19'],Vitality Blast,1297880,Sussex,11,0,0,0,0,0.0,"2,4,6,19",4.0,24,9,0,40,1,4,1,0,0,0,0,10.0,0,0,0,0,0,0,32,0,32
['2022-06-17'],Vitality Blast,1297868,Sussex,11,0,0,0,0,0.0,"2,5,18",3.167,19,4,0,45,4,3,2,0,0,0,0,14.21,1,0,0,0,0,0,48,8,56
['2022-06-10'],Vitality Blast,1297861,Sussex,11,1,3,0,0,33.33,"2,5,14,19",4.0,24,9,0,31,4,1,1,0,0,0,0,7.75,0,0,0,0,0,1,34,0,35
['2022-06-08'],Vitality Blast,1297850,Sussex,11,0,0,0,0,0.0,"2,4",2.0,12,5,0,15,2,0,0,0,0,0,2,7.5,0,0,0,0,0,0,5,0,5
['2022-06-04'],Vitality Blast,1297837,Sussex,10,0,0,0,0,0.0,"2,4,16,18",4.0,24,6,0,29,2,1,1,0,0,0,0,7.25,0,0,0,0,0,0,31,0,31
['2022-06-03'],Vitality Blast,1297834,Sussex,11,0,0,0,0,0.0,"2,6,13,15",4.0,24,9,0,29,3,1,3,0,0,0,0,7.25,0,0,0,0,0,0,88,0,88
