date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-12-19'],Gulf T20I Championship,1463664,Saudi Arabia,4,16,11,1,1,145.45,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,28,0,0,28
['2024-12-18'],Gulf T20I Championship,1463662,Saudi Arabia,4,28,17,0,2,164.71,14,1.0,6,1,0,11,1,0,0,0,0,0,0,11.0,1,0,0,0,4,48,1,8,57
['2024-12-16'],Gulf T20I Championship,1463658,Saudi Arabia,7,12,10,0,1,120.0,"9,11",2.0,12,5,0,11,1,0,0,0,0,0,0,5.5,0,0,0,0,0,18,9,0,27
['2024-12-15'],Gulf T20I Championship,1463657,Saudi Arabia,10,0,0,0,0,0.0,10,1.0,6,1,0,8,1,0,0,0,0,0,1,8.0,1,0,0,0,0,0,1,8,9
['2024-12-13'],Gulf T20I Championship,1463653,Saudi Arabia,3,0,2,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2024-11-28'],ICC Men's T20 World Cup Asia Qualifier B,1457236,Saudi Arabia,3,24,18,1,1,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,36,0,0,36
['2024-11-26'],ICC Men's T20 World Cup Asia Qualifier B,1457232,Saudi Arabia,6,13,10,0,1,130.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,2,21,0,14,35
['2024-11-25'],ICC Men's T20 World Cup Asia Qualifier B,1457230,Saudi Arabia,3,3,5,0,0,60.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,0,8,11
['2024-11-22'],ICC Men's T20 World Cup Asia Qualifier B,1457225,Saudi Arabia,5,12,15,0,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12
['2024-11-20'],ICC Men's T20 World Cup Asia Qualifier B,1457222,Saudi Arabia,5,33,28,1,3,117.86,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,59,0,8,67
['2024-11-19'],ICC Men's T20 World Cup Asia Qualifier B,1457219,Saudi Arabia,5,25,19,1,2,131.58,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,47,0,0,47
['2024-04-17'],ACC Men's Premier Cup,1426472,Saudi Arabia,2,3,6,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2024-04-16'],ACC Men's Premier Cup,1426469,Saudi Arabia,5,1,7,0,0,14.29,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,0,12,13
['2024-04-14'],ACC Men's Premier Cup,1426464,Saudi Arabia,4,44,18,2,4,244.44,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,86,0,0,86
['2024-04-13'],ACC Men's Premier Cup,1426462,Saudi Arabia,3,8,9,0,1,88.89,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,14,0,0,14
['2024-02-16'],Quadrangular Twenty20 Series (Thailand),1420807,Saudi Arabia,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,12,12
['2024-02-15'],Quadrangular Twenty20 Series (Thailand),1420806,Saudi Arabia,3,21,12,1,2,175.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,43,0,8,51
['2024-02-13'],Quadrangular Twenty20 Series (Thailand),1420803,Saudi Arabia,6,2,9,0,0,22.22,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2024-02-12'],Quadrangular Twenty20 Series (Thailand),1420802,Saudi Arabia,6,47,23,4,3,204.35,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,6,91,0,16,107
['2024-02-11'],Asian Cricket Council Men's Challenger Cup,1418197,Saudi Arabia,6,26,12,1,2,216.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,52,0,0,52
['2024-02-09'],Asian Cricket Council Men's Challenger Cup,1418194,Saudi Arabia,3,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-02-05'],Asian Cricket Council Men's Challenger Cup,1418188,Saudi Arabia,5,18,6,0,3,300.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,36,0,16,52
['2024-02-03'],Asian Cricket Council Men's Challenger Cup,1418184,Saudi Arabia,1,40,19,4,3,210.53,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,84,0,0,84
['2023-10-05'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399149,Saudi Arabia,5,4,9,0,0,44.44,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,4,0,16,20
['2023-10-02'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399145,Saudi Arabia,2,20,10,4,0,200.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,42,0,0,42
['2023-10-01'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399143,Saudi Arabia,3,4,9,0,0,44.44,18,1.0,6,1,0,12,2,0,0,0,0,0,0,12.0,1,0,0,0,0,4,1,8,13
['2023-09-18'],Gulf Cricket T20I Championship,1392809,Saudi Arabia,5,49,37,4,2,132.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,83,0,0,83
['2023-09-15'],Gulf Cricket T20I Championship,1392802,Saudi Arabia,4,0,3,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
