date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-10-23'],ICC Men's T20 World Cup Sub Regional Africa Qualifier,1453930,Kenya,11,0,0,0,0,0.0,"2,4",2.0,12,8,0,5,0,0,0,0,0,0,0,2.5,1,0,0,0,0,0,14,8,22
['2024-10-22'],ICC Men's T20 World Cup Sub Regional Africa Qualifier,1453934,Kenya,11,0,1,0,0,0.0,"1,3,6,8",4.0,24,20,0,7,1,0,5,2,2,0,1,1.75,0,0,0,0,0,0,195,0,195
['2024-10-18'],Seychelles in Kenya T20I Match,1456013,Kenya,10,0,0,0,0,0.0,"1,6",2.0,12,7,0,16,3,0,0,0,0,0,2,8.0,0,0,0,0,0,0,7,0,7
['2024-07-17'],Nigeria tour of Kenya,1442739,Kenya,9,0,0,0,0,0.0,"2,15",2.0,12,2,0,28,5,0,0,0,0,0,1,14.0,0,0,0,0,0,0,-4,0,-4
['2024-07-16'],Nigeria tour of Kenya,1442738,Kenya,9,6,9,0,0,66.67,"1,3,17,19",4.0,24,11,0,28,0,2,1,1,0,0,1,7.0,1,0,0,0,0,6,46,8,60
['2024-07-15'],Nigeria tour of Kenya,1442737,Kenya,11,0,0,0,0,0.0,"4,6,17,19",4.0,24,12,0,34,5,0,3,1,0,0,3,8.5,0,0,0,0,0,0,99,0,99
['2024-07-12'],Nigeria tour of Kenya,1442735,Kenya,9,0,0,0,0,0.0,"2,7,20",3.0,18,11,0,18,3,0,2,0,1,0,1,6.0,0,0,0,0,0,0,71,0,71
['2024-07-05'],Twenty20 Quadrangular (in Kenya),1441145,Kenya,11,0,0,0,0,0.0,"2,4",2.0,12,6,0,18,4,0,0,0,0,0,0,9.0,1,0,0,0,0,0,6,8,14
['2024-07-03'],Twenty20 Quadrangular (in Kenya),1441140,Kenya,9,0,0,0,0,0.0,"1,3",2.0,12,5,0,19,4,0,0,0,0,0,1,9.5,0,0,0,0,0,0,5,0,5
['2024-07-01'],Twenty20 Quadrangular (in Kenya),1441136,Kenya,8,0,0,0,0,0.0,"1,3,5,17",4.0,24,13,0,15,2,0,2,0,0,0,0,3.75,0,0,0,0,0,0,69,0,69
['2024-03-20'],African Games,1424761,Kenya,11,0,0,0,0,0.0,"2,6",2.0,12,5,0,17,1,1,0,0,0,0,1,8.5,1,0,0,0,0,0,5,8,13
['2023-11-30'],ICC Men's T20 World Cup Africa Region Qualifier,1407107,Kenya,10,0,0,0,0,0.0,"2,6,19",3.0,18,4,0,50,2,5,0,0,0,0,2,16.67,0,0,0,0,0,0,-2,0,-2
['2023-11-27'],ICC Men's T20 World Cup Africa Region Qualifier,1407102,Kenya,11,0,0,0,0,0.0,"2,5,12",3.0,18,8,0,22,1,0,0,0,0,0,3,7.33,0,0,0,0,0,0,8,0,8
['2023-11-25'],ICC Men's T20 World Cup Africa Region Qualifier,1407096,Kenya,11,0,0,0,0,0.0,"5,12,15,18",4.0,24,8,0,31,2,1,4,1,0,1,0,7.75,0,0,0,0,0,0,124,0,124
['2023-06-21'],Africa Continental Cup,1379592,Kenya,11,0,0,0,0,0.0,"2,4,17,19",4.0,24,13,0,19,2,0,3,0,0,0,1,4.75,0,0,0,0,0,0,98,0,98
['2023-06-19'],Africa Continental Cup,1379585,Kenya,9,0,0,0,0,0.0,"2,4",2.0,12,6,0,18,4,0,0,0,0,0,1,9.0,0,0,0,0,0,0,6,0,6
['2023-06-18'],Africa Continental Cup,1379581,Kenya,9,2,3,0,0,66.67,"2,6,12",3.0,18,8,0,31,4,1,1,0,0,0,1,10.33,0,0,0,0,0,2,31,0,33
['2023-06-17'],Africa Continental Cup,1379576,Kenya,11,0,0,0,0,0.0,"1,3,19",3.0,18,10,0,17,1,1,1,0,0,0,0,5.67,1,0,0,0,0,0,39,8,47
['2023-06-13'],Africa Continental Cup,1379589,Kenya,10,0,0,0,0,0.0,"1,5,14,19",4.0,24,8,0,26,2,0,1,0,1,0,0,6.5,1,0,0,0,0,0,43,8,51
['2023-06-11'],Africa Continental Cup,1379580,Kenya,11,0,0,0,0,0.0,"2,4,20",3.0,18,9,0,21,1,1,0,0,0,0,0,7.0,1,0,0,0,0,0,11,8,19
['2023-06-10'],Africa Continental Cup,1379577,Kenya,11,0,0,0,0,0.0,"2,4",2.0,12,8,0,15,2,1,0,0,0,0,0,7.5,0,0,0,0,0,0,8,0,8
['2022-09-19'],Africa Cricket Association Cup,1332506,Kenya,9,0,0,0,0,0.0,"1,3,5",3.0,18,15,1,6,1,0,1,1,0,0,1,2.0,0,0,0,0,0,0,66,0,66
