date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-02-02'],England tour of India,1439903,India,6,9,6,0,1,150.0,"2,4",2.0,12,5,0,23,3,1,0,0,0,0,1,11.5,0,0,0,0,0,15,1,0,16
['2025-01-31'],England tour of India,1439902,India,7,53,29,4,4,182.76,2,1.0,6,2,0,11,2,0,0,0,0,0,0,11.0,0,0,0,0,6,107,2,0,109
['2025-01-28'],England tour of India,1439901,India,5,40,35,1,2,114.29,"2,4,18,20",4.0,24,7,0,33,4,0,2,0,0,0,3,8.25,0,0,0,0,0,60,57,0,117
['2025-01-25'],England tour of India,1439900,India,6,7,6,1,0,116.67,"2,19",2.0,12,6,0,6,0,0,1,0,0,0,0,3.0,0,0,0,0,0,11,37,0,48
['2025-01-22'],England tour of India,1439899,India,5,3,4,0,0,75.0,"2,4,12,20",4.0,24,9,0,42,7,0,2,0,0,0,3,10.5,0,0,0,0,0,3,57,0,60
['2024-12-13'],Syed Mushtaq Ali Trophy,1446105,Baroda,6,5,6,1,0,83.33,"1,3,10,12",4.0,24,12,0,29,2,2,1,0,0,0,1,7.25,0,0,0,0,0,9,37,0,46
['2024-12-11'],Syed Mushtaq Ali Trophy,1446101,Baroda,3,10,11,1,0,90.91,"1,3,10,16",4.0,24,15,0,27,2,2,3,0,0,0,1,6.75,3,0,0,0,0,14,96,28,138
['2024-11-15'],India tour of South Africa,1449304,India,5,0,0,0,0,0.0,"2,4,6",3.0,18,13,1,8,0,0,1,0,0,0,1,2.67,0,0,0,0,0,0,56,0,56
['2024-11-13'],India tour of South Africa,1449303,India,5,18,16,3,0,112.5,"2,4,16,19",4.0,24,5,0,50,4,3,1,0,0,0,1,12.5,0,0,0,0,0,30,24,0,54
['2024-11-10'],India tour of South Africa,1449302,India,6,39,45,4,1,86.67,"5,7,15",3.0,18,4,0,22,0,1,0,0,0,0,3,7.33,0,0,0,0,0,65,4,0,69
