date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-06-24'],ICC Men's T20 World Cup,1415751,Australia,8,11,7,0,1,157.14,"5,11,18,20",4.0,24,5,0,48,4,3,0,0,0,0,0,12.0,0,0,0,0,0,17,1,0,18
['2024-06-20'],ICC Men's T20 World Cup,1415744,Australia,8,0,0,0,0,0.0,"6,14,18,20",4.0,24,8,0,29,1,0,3,0,1,0,7,7.25,0,0,0,0,0,0,95,0,95
['2024-06-11'],ICC Men's T20 World Cup,1415724,Australia,8,0,0,0,0,0.0,"4,10,16",3.0,18,11,1,16,1,1,1,0,0,0,0,5.33,0,0,0,0,0,0,52,0,52
['2024-06-08'],ICC Men's T20 World Cup,1415717,Australia,8,0,1,0,0,0.0,"5,9,16,19",4.0,24,10,0,23,2,0,2,0,0,0,1,5.75,1,0,0,0,0,0,64,8,72
['2024-05-26'],Indian Premier League,1426312,Sunrisers Hyderabad,9,24,19,2,1,126.32,"2,5",2.0,12,7,0,18,2,1,1,0,0,0,2,9.0,0,0,0,0,0,38,32,0,70
['2024-05-24'],Indian Premier League,1426311,Sunrisers Hyderabad,9,5,5,1,0,100.0,"2,4,17,19",4.0,24,10,0,30,3,1,1,0,0,0,1,7.5,0,0,0,0,0,9,35,0,44
['2024-05-21'],Indian Premier League,1426309,Sunrisers Hyderabad,9,30,24,2,2,125.0,"2,7,9",3.0,18,5,0,38,5,2,1,0,0,0,1,12.67,0,0,0,0,0,54,24,0,78
['2024-05-19'],Indian Premier League,1426307,Sunrisers Hyderabad,10,0,0,0,0,0.0,"2,5,13,18",4.0,24,7,0,36,4,1,1,0,0,0,0,9.0,0,0,0,0,0,0,32,0,32
['2024-05-08'],Indian Premier League,1426295,Sunrisers Hyderabad,9,0,0,0,0,0.0,"2,10,16,20",4.0,24,5,0,47,6,1,1,0,0,0,0,11.75,0,0,1,0,0,0,26,12,38
['2024-05-06'],Indian Premier League,1426293,Sunrisers Hyderabad,9,35,16,2,2,218.75,"4,6,10,17",4.0,24,12,1,35,4,2,1,0,0,0,1,8.75,0,0,0,0,6,65,49,0,114
['2024-05-02'],Indian Premier League,1426288,Sunrisers Hyderabad,10,0,0,0,0,0.0,"5,9,16,19",4.0,24,12,0,34,2,3,2,0,0,0,0,8.5,0,0,0,0,0,0,62,0,62
['2024-04-28'],Indian Premier League,1426284,Sunrisers Hyderabad,9,5,7,1,0,71.43,"9,13,16,18",4.0,24,3,0,49,4,3,0,0,0,0,1,12.25,0,0,0,0,0,9,-3,0,6
['2024-04-25'],Indian Premier League,1426279,Sunrisers Hyderabad,8,31,15,1,3,206.67,"3,12,16,19",4.0,24,1,0,55,8,1,1,0,0,0,1,13.75,1,0,0,0,6,63,20,8,91
['2024-04-20'],Indian Premier League,1426273,Sunrisers Hyderabad,8,1,1,0,0,100.0,"5,10,14,18",4.0,24,9,0,35,5,1,0,0,0,0,0,8.75,2,0,0,0,0,1,9,16,26
['2024-04-15'],Indian Premier League,1426268,Sunrisers Hyderabad,8,0,0,0,0,0.0,"6,10,15,17",4.0,24,10,0,43,4,3,3,1,1,0,1,10.75,0,0,0,0,0,0,103,0,103
['2024-04-09'],Indian Premier League,1426261,Sunrisers Hyderabad,9,3,4,0,0,75.0,"2,4,13,18",4.0,24,11,0,22,3,0,1,0,1,0,0,5.5,1,0,0,0,0,3,48,8,59
['2024-04-05'],Indian Premier League,1422136,Sunrisers Hyderabad,9,0,0,0,0,0.0,"5,10,14,18",4.0,24,9,0,29,2,1,1,0,0,0,0,7.25,0,0,0,0,0,0,34,0,34
['2024-03-31'],Indian Premier League,1422130,Sunrisers Hyderabad,9,2,2,0,0,100.0,"11,13,17,19",4.0,24,7,0,28,3,0,1,0,0,0,1,7.0,1,0,0,0,0,2,34,8,44
['2024-03-27'],Indian Premier League,1422126,Sunrisers Hyderabad,9,0,0,0,0,0.0,"5,9,15,19",4.0,24,7,0,35,1,2,2,0,0,0,1,8.75,1,0,0,0,0,0,57,8,65
['2024-03-23'],Indian Premier League,1422121,Sunrisers Hyderabad,9,0,1,0,0,0.0,"5,9,13,15",4.0,24,8,0,32,3,1,1,0,0,0,0,8.0,1,0,0,0,0,0,33,8,41
['2024-02-23'],Australia tour of New Zealand,1388224,Australia,8,28,21,5,0,133.33,"2,4,13",3.0,18,6,0,19,0,0,1,0,0,0,5,6.33,0,0,0,0,2,54,33,0,87
['2024-02-21'],Australia tour of New Zealand,1388223,Australia,8,0,0,0,0,0.0,"4,8,16,20",4.0,24,7,0,43,4,1,1,0,0,0,3,10.75,0,0,0,0,0,0,30,0,30
['2022-10-31'],ICC Men's T20 World Cup,1298165,Australia,9,0,0,0,0,0.0,"2,5,14,18",4.0,24,13,0,28,3,1,2,0,1,0,1,7.0,1,0,0,0,0,0,73,8,81
['2022-10-25'],ICC Men's T20 World Cup,1298153,Australia,10,0,0,0,0,0.0,"2,4,17,20",4.0,24,10,0,36,5,1,1,0,0,0,2,9.0,1,0,0,0,0,0,35,8,43
['2022-10-22'],ICC Men's T20 World Cup,1298147,Australia,8,21,18,2,1,116.67,"3,6,14,18",4.0,24,8,0,46,4,2,0,0,0,0,2,11.5,0,0,0,0,0,35,4,0,39
['2022-10-14'],England tour of Australia,1317488,Australia,8,0,0,0,0,0.0,"3,6,8",3.0,18,8,0,23,4,0,1,0,0,0,0,7.67,0,0,0,0,0,0,33,0,33
['2022-10-12'],England tour of Australia,1317487,Australia,8,18,11,0,1,163.64,"2,4,12,16",4.0,24,13,0,29,3,1,1,0,0,0,1,7.25,0,0,0,0,4,28,38,0,66
['2022-10-07'],West Indies tour of Australia,1317483,Australia,8,1,2,0,0,50.0,"3,7,17,19",4.0,24,10,0,32,3,1,2,0,0,0,1,8.0,0,0,0,0,0,1,60,0,61
['2022-10-05'],West Indies tour of Australia,1317482,Australia,8,4,7,0,0,57.14,"3,10,16,20",4.0,24,13,0,22,1,1,2,0,2,0,3,5.5,0,0,0,0,0,4,83,0,87
['2022-09-25'],Australia tour of India,1327505,Australia,9,0,1,0,0,0.0,"4,11,15,18",4.0,24,8,0,40,3,2,1,0,0,0,2,10.0,0,0,0,0,0,0,31,0,31
['2022-09-23'],Australia tour of India,1327504,Australia,8,0,0,0,0,0.0,"2,7",2.0,12,5,0,23,2,1,1,0,0,0,3,11.5,0,0,0,0,0,0,26,0,26
['2022-09-20'],Australia tour of India,1327503,Australia,8,4,1,1,0,400.0,"2,6,15,18",4.0,24,9,0,47,5,3,0,0,0,0,0,11.75,0,0,0,0,0,8,5,0,13
['2022-05-09'],Indian Premier League,1304102,Kolkata Knight Riders,8,0,2,0,0,0.0,"2,4,15,17",4.0,24,10,0,22,2,0,3,0,0,0,1,5.5,0,0,0,0,0,-2,93,0,91
['2022-04-18'],Indian Premier League,1304076,Kolkata Knight Riders,9,0,1,0,0,0.0,"5,7,13,17",4.0,24,3,0,50,7,1,1,0,0,0,2,12.5,1,0,0,0,0,-2,22,8,28
