date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-08-28'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1443788,Czech Republic,2,1,3,0,0,33.33,"4,6,17",3.0,18,11,0,14,1,1,1,0,0,0,0,4.67,1,0,0,0,0,1,42,8,51
['2024-08-27'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1443784,Czech Republic,1,59,41,9,0,143.9,17,0.667,4,3,0,1,0,0,1,1,0,0,0,1.5,0,0,0,0,2,105,36,0,141
['2024-08-25'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1443779,Czech Republic,1,8,4,2,0,200.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2024-08-22'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1443773,Czech Republic,2,36,24,7,0,150.0,"5,7,16,19",4.0,24,8,0,35,3,1,3,0,1,0,1,8.75,0,0,0,0,0,68,95,0,163
['2024-08-21'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1443768,Czech Republic,1,0,1,0,0,0.0,"13,15,19",3.0,18,3,0,23,2,0,2,0,0,0,0,7.67,0,0,0,0,0,-2,53,0,51
['2023-06-11'],Hungary tour of Czech Republic,1380586,Czech Republic,6,7,7,0,0,100.0,"13,15,17,19",4.0,24,6,0,36,3,1,3,0,0,0,0,9.0,0,0,0,0,0,7,85,0,92
['2023-06-11'],Hungary tour of Czech Republic,1380587,Czech Republic,6,0,3,0,0,0.0,20,0.833,5,2,0,14,0,2,2,0,0,0,1,16.81,0,0,0,0,0,-2,52,0,50
['2022-07-31'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321301,Czech Republic,3,10,6,2,0,166.67,"9,11,13",3.0,18,5,0,28,1,2,1,0,1,0,0,9.33,0,0,0,0,0,18,38,0,56
['2022-07-30'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321298,Czech Republic,3,51,25,3,4,204.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,101,0,8,109
['2022-07-24'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321284,Czech Republic,7,2,5,0,0,40.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2022-07-10'],Central Europe Cup,1321310,Czech Republic,11,0,0,0,0,0.0,"13,15",2.0,12,3,0,23,1,1,1,0,0,0,4,11.5,0,0,0,1,0,0,24,6,30
['2022-07-09'],Central Europe Cup,1321307,Czech Republic,6,4,7,0,0,57.14,"7,9",2.0,12,3,0,30,2,2,0,0,0,0,4,15.0,0,0,0,0,0,4,-3,0,1
['2022-07-08'],Central Europe Cup,1321306,Czech Republic,7,14,5,2,1,280.0,"13,15,17,19",4.0,24,7,0,24,1,0,3,0,0,0,2,6.0,0,0,1,0,0,28,88,12,128
['2022-05-15'],Valletta Cup,1310186,Czech Republic,7,0,0,0,0,0.0,"5,7,9,18",4.0,24,5,0,29,2,0,2,0,0,0,0,7.25,0,0,0,0,0,0,55,0,55
['2022-05-14'],Valletta Cup,1310182,Czech Republic,6,0,0,0,0,0.0,"9,14",2.0,12,3,0,18,1,1,0,0,0,0,0,9.0,0,0,0,0,0,0,3,0,3
['2022-05-13'],Valletta Cup,1310180,Czech Republic,7,5,3,1,0,166.67,"1,3,17,19",4.0,24,10,0,39,4,2,2,0,0,0,0,9.75,0,0,0,0,0,9,60,0,69
['2022-05-12'],Valletta Cup,1310176,Czech Republic,6,7,5,1,0,140.0,"5,7,9,15",4.0,24,5,0,32,3,0,1,1,0,1,1,8.0,0,0,0,0,0,11,38,0,49
['2022-05-12'],Valletta Cup,1310177,Czech Republic,7,0,0,0,0,0.0,"4,6,20",3.0,18,4,0,22,2,0,0,0,0,0,2,7.33,1,0,0,0,0,0,4,8,12
['2022-05-11'],Valletta Cup,1310174,Czech Republic,6,3,7,0,0,42.86,"12,14,16",3.0,18,4,0,20,1,0,2,0,1,0,1,6.67,1,0,0,1,0,3,64,14,81
