date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-10-09'],CSA T20 Challenge,1444780,Boland,11,0,0,0,0,0.0,"6,8",1.167,7,5,0,2,0,0,2,0,1,0,0,1.71,1,0,0,0,0,0,63,8,71
['2024-10-06'],CSA T20 Challenge,1444776,Boland,5,8,6,1,0,133.33,"7,16",2.0,12,3,0,22,3,0,0,0,0,0,0,11.0,1,0,0,0,0,12,1,8,21
['2024-03-08'],CSA T20 Challenge,1394573,Boland,7,25,10,1,3,250.0,"4,12,15,19",4.0,24,5,0,47,3,3,1,0,0,0,3,11.75,0,0,0,0,6,57,26,0,83
['2022-11-02'],CSA T20 Challenge,1334920,Boland,7,3,7,0,0,42.86,"1,7,17,19",4.0,24,7,0,19,0,0,1,0,0,0,0,4.75,0,0,0,0,0,3,38,0,41
['2022-10-26'],CSA T20 Challenge,1334908,Boland,9,1,2,0,0,50.0,"2,4",2.0,12,4,0,18,3,0,0,0,0,0,1,9.0,0,0,0,0,0,1,4,0,5
['2022-10-25'],CSA T20 Challenge,1334906,Boland,7,9,9,1,0,100.0,"2,12,16",3.0,18,10,0,13,1,0,1,0,1,0,1,4.33,0,0,0,0,0,13,49,0,62
['2022-10-22'],CSA T20 Challenge,1334901,Boland,7,0,0,0,0,0.0,"2,4,18,20",4.0,24,6,0,29,1,0,2,1,0,1,0,7.25,0,0,0,0,0,0,64,0,64
['2022-10-20'],CSA T20 Challenge,1334898,Boland,7,8,14,0,0,57.14,"2,10,18,20",4.0,24,3,0,48,6,1,0,0,0,0,0,12.0,1,0,0,0,-4,4,-1,8,11
['2022-10-18'],CSA T20 Challenge,1334894,Boland,8,0,0,0,0,0.0,"4,6,8,19",4.0,24,10,0,20,2,0,2,0,2,0,1,5.0,0,0,0,0,0,0,80,0,80
['2022-02-27'],CSA T20 Challenge,1299632,Boland,5,6,14,0,0,42.86,"10,20",2.0,12,3,0,14,1,0,1,0,0,0,0,7.0,1,0,1,0,-6,0,30,20,50
['2022-02-25'],CSA T20 Challenge,1299631,Boland,5,6,6,1,0,100.0,"7,13,17,19",4.0,24,5,0,16,0,0,1,0,0,0,0,4.0,0,0,0,0,0,10,36,0,46
['2022-02-22'],CSA T20 Challenge,1299627,Boland,5,0,0,0,0,0.0,"5,19",2.0,12,5,0,17,1,1,0,0,0,0,0,8.5,1,0,0,0,0,0,5,8,13
['2022-02-20'],CSA T20 Challenge,1299624,Boland,5,15,14,2,0,107.14,"5,19",2.0,12,5,0,14,2,0,2,0,1,0,1,7.0,0,0,1,1,0,23,65,18,106
['2022-02-17'],CSA T20 Challenge,1299619,Boland,4,27,17,3,1,158.82,"7,15,17,19",4.0,24,3,0,45,2,3,0,0,0,0,1,11.25,0,0,0,0,4,53,-1,0,52
['2022-02-15'],CSA T20 Challenge,1299616,Boland,4,30,23,2,1,130.43,"16,18",1.333,8,2,0,17,2,1,2,0,1,0,0,12.75,0,0,0,0,2,50,60,0,110
['2022-02-13'],CSA T20 Challenge,1299613,Boland,4,5,5,0,0,100.0,"1,4,9,18,20",4.5,27,7,0,44,4,2,2,0,0,0,1,9.78,0,0,1,0,0,5,57,12,74
