date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-09-06'],Vitality Blast,1410499,Birmingham Bears,9,7,9,0,0,77.78,"7,9,11,13",4.0,24,6,0,24,1,0,2,1,0,0,0,6.0,1,0,0,0,0,7,66,8,81
['2024-07-19'],Vitality Blast,1410494,Birmingham Bears,10,0,0,0,0,0.0,"7,9,11,15",4.0,24,10,0,30,3,1,3,0,1,0,0,7.5,1,0,0,0,0,0,97,8,105
['2024-07-18'],Vitality Blast,1410484,Birmingham Bears,10,0,0,0,0,0.0,"7,9,13,17",4.0,24,6,0,38,0,4,2,0,0,0,0,9.5,0,0,0,0,0,0,56,0,56
['2024-07-14'],Vitality Blast,1410479,Birmingham Bears,10,0,0,0,0,0.0,"7,9,13,15",4.0,24,8,0,24,2,0,3,1,1,0,1,6.0,1,0,0,0,0,0,105,8,113
['2024-07-12'],Vitality Blast,1410472,Birmingham Bears,10,4,1,1,0,400.0,"5,7,11",3.0,18,7,0,25,2,1,2,0,0,0,2,8.33,0,0,0,0,0,8,57,0,65
['2024-07-07'],Vitality Blast,1410456,Birmingham Bears,11,0,0,0,0,0.0,"7,9,11,15",4.0,24,12,0,12,0,0,1,0,0,0,0,3.0,2,0,0,0,0,0,43,16,59
['2024-07-05'],Vitality Blast,1410449,Birmingham Bears,9,1,1,0,0,100.0,"8,10,12,16",4.0,24,9,0,35,3,2,3,0,1,0,0,8.75,0,0,0,0,0,1,96,0,97
['2024-06-21'],Vitality Blast,1410441,Birmingham Bears,11,0,0,0,0,0.0,"8,10,12,16",4.0,24,11,0,22,0,1,2,0,1,0,2,5.5,0,0,0,0,0,0,73,0,73
['2024-06-20'],Vitality Blast,1410432,Birmingham Bears,11,0,0,0,0,0.0,"7,11,17,19",4.0,24,10,0,20,2,0,1,0,0,0,0,5.0,0,0,0,0,0,0,39,0,39
['2024-06-16'],Vitality Blast,1410422,Birmingham Bears,10,0,0,0,0,0.0,"8,10,14,16",4.0,24,7,0,23,0,1,2,0,0,0,0,5.75,0,0,0,0,0,0,61,0,61
['2024-06-14'],Vitality Blast,1410418,Birmingham Bears,8,8,3,0,1,266.67,"9,13,15,17",4.0,24,7,0,26,0,2,3,0,0,0,0,6.5,0,0,0,0,0,14,88,0,102
['2024-06-08'],Vitality Blast,1410401,Birmingham Bears,11,1,1,0,0,100.0,"4,8,12",3.0,18,5,0,25,4,0,0,0,0,0,0,8.33,1,0,0,0,0,1,5,8,14
['2024-06-07'],Vitality Blast,1410397,Birmingham Bears,9,0,0,0,0,0.0,"7,12,14,16",4.0,24,6,0,24,2,0,1,0,0,0,0,6.0,0,0,0,0,0,0,33,0,33
['2024-06-01'],Vitality Blast,1410383,Birmingham Bears,8,13,11,1,0,118.18,"4,7,9,15",4.0,24,11,0,26,2,1,2,0,1,0,0,6.5,1,0,0,0,0,17,71,8,96
['2024-05-31'],Vitality Blast,1410376,Birmingham Bears,10,0,0,0,0,0.0,"4,9,12,14",4.0,24,11,1,16,1,0,2,0,1,0,0,4.0,1,0,0,0,0,0,87,8,95
['2023-06-23'],Vitality Blast,1347670,Birmingham Bears,9,0,0,0,0,0.0,"7,9,11,15",4.0,24,7,0,36,2,2,2,0,0,0,0,9.0,0,0,0,0,0,0,57,0,57
['2023-06-22'],Vitality Blast,1347664,Birmingham Bears,10,0,0,0,0,0.0,"9,15",2.0,12,1,0,21,3,0,0,0,0,0,0,10.5,0,0,0,0,0,0,-1,0,-1
['2023-06-20'],Vitality Blast,1347658,Birmingham Bears,10,6,2,0,1,300.0,"9,11,13,15",4.0,24,5,0,26,1,0,2,0,0,0,0,6.5,0,0,0,0,0,12,57,0,69
['2023-06-16'],Vitality Blast,1347640,Birmingham Bears,9,0,0,0,0,0.0,"7,9,13",3.0,18,3,0,26,1,1,0,0,0,0,0,8.67,0,0,0,0,0,0,3,0,3
['2023-06-09'],Vitality Blast,1347630,Birmingham Bears,10,5,6,0,0,83.33,"3,11,13,15",4.0,24,6,0,21,1,0,1,0,1,0,0,5.25,0,0,0,0,0,5,43,0,48
['2023-06-07'],Vitality Blast,1347627,Birmingham Bears,10,0,0,0,0,0.0,"7,9,11",3.0,18,5,0,31,1,2,1,0,0,0,1,10.33,0,0,0,0,0,0,28,0,28
['2023-06-03'],Vitality Blast,1347610,Birmingham Bears,9,1,2,0,0,50.0,8,1.0,6,2,0,15,0,2,0,0,0,0,0,15.0,0,0,0,0,0,1,2,0,3
['2023-06-02'],Vitality Blast,1347606,Birmingham Bears,8,9,6,1,0,150.0,"7,9,15",3.0,18,3,0,26,4,0,0,0,0,0,0,8.67,0,0,0,0,0,13,3,0,16
['2023-05-31'],Vitality Blast,1347596,Birmingham Bears,9,0,0,0,0,0.0,"3,15,17",3.0,18,5,0,22,3,0,1,0,0,0,1,7.33,1,0,0,0,0,0,30,8,38
['2023-05-29'],Vitality Blast,1347590,Birmingham Bears,8,0,0,0,0,0.0,"7,9,13,15",3.833,23,9,0,15,0,0,4,1,1,0,0,3.91,0,0,0,0,0,0,139,0,139
['2023-05-26'],Vitality Blast,1347577,Birmingham Bears,8,0,0,0,0,0.0,"7,11,13,15",4.0,24,9,0,15,0,0,3,0,1,0,0,3.75,0,0,0,0,0,0,102,0,102
['2023-05-20'],Vitality Blast,1347568,Birmingham Bears,9,0,0,0,0,0.0,"7,9",2.0,12,2,0,15,0,1,0,0,0,0,0,7.5,2,0,0,0,0,0,2,16,18
