date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2012-02-27'],Bangladesh Premier League,551073,Duronto Rajshahi,1,15,17,1,1,88.24,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25
['2012-02-26'],Bangladesh Premier League,551071,Duronto Rajshahi,1,28,12,5,1,233.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,64,0,8,72
['2012-02-24'],Bangladesh Premier League,551068,Duronto Rajshahi,1,54,46,7,0,117.39,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,90,0,0,90
['2012-02-20'],Bangladesh Premier League,551063,Duronto Rajshahi,1,46,22,6,2,209.09,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,92,0,8,100
['2012-02-18'],Bangladesh Premier League,551060,Duronto Rajshahi,1,20,18,4,0,111.11,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,36,0,12,48
['2010-10-27'],Pakistan v South Africa T20I Series,461565,Pakistan,1,6,6,1,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2010-10-26'],Pakistan v South Africa T20I Series,478279,Pakistan,1,9,11,0,0,81.82,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2010-09-07'],Pakistan in England T20I Series,426418,Pakistan,2,3,8,0,0,37.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2010-09-05'],Pakistan in England T20I Series,426417,Pakistan,2,21,25,2,0,84.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,29,0,0,29
['2010-07-06'],MCC Spirit of Cricket T20I Series,426393,Pakistan,1,0,4,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2010-07-05'],MCC Spirit of Cricket T20I Series,426392,Pakistan,2,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2009-06-21'],ICC World Twenty20,356017,Pakistan,2,19,23,3,0,82.61,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,31,0,16,47
['2009-06-18'],ICC World Twenty20,356015,Pakistan,2,0,2,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2009-06-15'],ICC World Twenty20,356012,Pakistan,2,23,19,3,1,121.05,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,41,0,0,41
['2009-06-13'],ICC World Twenty20,356008,Pakistan,2,35,27,4,2,129.63,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,67,0,8,75
