date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-10-31'],Syed Mushtaq Ali Trophy,1383561,Bengal,11,0,0,0,0,0.0,"4,6,14,17",4.0,24,5,0,31,3,0,0,0,0,0,1,7.75,0,0,0,0,0,0,5,0,5
['2021-11-05'],Syed Mushtaq Ali Trophy,1280221,Bengal,10,0,0,0,0,0.0,"1,3,15",3.0,18,7,0,25,4,0,0,0,0,0,1,8.33,0,0,0,0,0,0,7,0,7
['2021-11-04'],Syed Mushtaq Ali Trophy,1280201,Bengal,6,0,0,0,0,0.0,"1,3",2.0,12,5,0,14,0,0,0,0,0,1,0,7.0,0,0,0,0,0,0,7,0,7
['2021-09-21'],Indian Premier League,1254111,Punjab Kings,7,0,0,0,0,0.0,"2,4,8,10",4.0,24,7,0,39,6,1,1,0,0,0,2,9.75,0,0,0,0,0,0,32,0,32
['2021-01-18'],Syed Mushtaq Ali Trophy,1244387,Bengal,11,0,0,0,0,0.0,"2,4,16",3.0,18,7,0,23,3,0,0,0,0,0,0,7.67,0,0,0,0,0,0,7,0,7
['2021-01-16'],Syed Mushtaq Ali Trophy,1244367,Bengal,11,0,0,0,0,0.0,"1,3,18,20",4.0,24,8,0,34,4,1,2,0,1,0,1,8.5,0,0,0,0,0,0,66,0,66
['2021-01-14'],Syed Mushtaq Ali Trophy,1244349,Bengal,8,0,0,0,0,0.0,"2,4,18,20",4.0,24,11,0,24,3,0,4,0,0,0,1,6.0,0,0,0,0,0,0,121,0,121
['2021-01-10'],Syed Mushtaq Ali Trophy,1244309,Bengal,5,0,0,0,0,0.0,"2,4,16,20",4.0,24,11,0,26,4,0,4,0,1,0,1,6.5,0,0,0,0,0,0,129,0,129
['2019-11-18'],Syed Mushtaq Ali Trophy,1205729,Bengal,5,0,0,0,0,0.0,"1,3,17,19",4.0,24,11,0,23,3,0,3,0,2,0,0,5.75,0,0,0,0,0,0,110,0,110
['2019-11-17'],Syed Mushtaq Ali Trophy,1205829,Bengal,9,0,0,0,0,0.0,"1,3,17,19",4.0,24,13,0,22,4,0,1,0,1,0,0,5.5,0,0,0,0,0,0,50,0,50
['2019-11-15'],Syed Mushtaq Ali Trophy,1205811,Bengal,7,0,0,0,0,0.0,"1,3,5,19",4.0,24,15,0,21,3,0,1,0,0,1,0,5.25,0,0,0,0,0,0,44,0,44
['2019-11-14'],Syed Mushtaq Ali Trophy,1205792,Bengal,10,0,0,0,0,0.0,"2,4,16,19",4.0,24,9,0,28,4,0,0,0,0,0,0,7.0,0,0,0,0,0,0,11,0,11
['2019-11-12'],Syed Mushtaq Ali Trophy,1205782,Bengal,11,0,0,0,0,0.0,"1,3",2.0,12,6,0,16,3,0,0,0,0,0,1,8.0,0,0,0,0,0,0,6,0,6
['2019-11-11'],Syed Mushtaq Ali Trophy,1205756,Bengal,9,0,0,0,0,0.0,"1,3,17,19",4.0,24,11,0,22,2,0,2,0,0,0,2,5.5,1,0,0,0,0,0,65,8,73
['2019-11-09'],Syed Mushtaq Ali Trophy,1205746,Bengal,4,0,0,0,0,0.0,"1,3",2.0,12,9,0,4,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,15,0,15
['2019-03-09'],Syed Mushtaq Ali Trophy,1175029,Bengal,10,0,0,0,0,0.0,"2,4,6,17",4.0,24,9,0,33,6,0,0,0,0,0,0,8.25,0,0,0,0,0,0,9,0,9
['2019-03-08'],Syed Mushtaq Ali Trophy,1175027,Bengal,8,0,0,0,0,0.0,"2,4,11,16",4.0,24,7,0,30,4,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7,0,7
['2019-03-02'],Syed Mushtaq Ali Trophy,1157205,Bengal,6,0,0,0,0,0.0,"2,4,14,16",4.0,24,12,0,19,2,0,3,0,2,0,0,4.75,0,0,0,0,0,0,113,0,113
['2019-02-28'],Syed Mushtaq Ali Trophy,1157186,Bengal,11,0,0,0,0,0.0,"2,4,6,13",4.0,24,12,0,25,3,1,3,0,0,0,1,6.25,0,0,0,0,0,0,93,0,93
['2019-02-27'],Syed Mushtaq Ali Trophy,1157171,Bengal,10,0,0,0,0,0.0,"2,4,17,19",4.0,24,13,0,23,3,0,0,0,0,0,3,5.75,0,0,0,0,0,0,17,0,17
['2019-02-25'],Syed Mushtaq Ali Trophy,1157151,Bengal,11,2,5,0,0,40.0,"2,5,7,19",4.0,24,12,1,24,3,0,0,0,0,0,0,6.0,0,0,0,0,0,2,26,0,28
['2019-02-24'],Syed Mushtaq Ali Trophy,1157135,Bengal,11,0,0,0,0,0.0,"4,6,16,19",4.0,24,12,0,28,5,0,3,0,1,0,1,7.0,0,0,0,0,0,0,101,0,101
